Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body,0.116580062480921,0.203632414380905,0.267680810570905,0,0,0,2.87565345812485,0.0127833675338013,-0.000217864160809355,9.99320302440465E-05,0.0227033370979438,0.000654848540411062,0.0148322641741708,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Body.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Body.STL,,vehicle_trial_mecanum_for simplified_simplify_1_finalll_with box.stp-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FR_Wheel,1.08802929635332E-06,0.0258289270072408,-7.54945366082671E-07,0,0,0,0.133116183813595,0.000102729499110476,8.30896403571234E-10,-4.0913024860306E-10,0.000178046892056523,-6.48321417286034E-10,0.000102730674803517,0,0,0,0,0,0,package://Trial1_URDFF/meshes/FR_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/FR_Wheel.STL,,mecanum wheel left_simplify_1.stp-1,Origin_FR_Joint,Axis_FR_Joint,FR_Joint,continuous,0.22047,-0.43654,0.15136,3.1416,0,0,Body,0,1,0,,,,,,,,,,,,
RR_Wheel,7.18483049184232E-07,0.0258285967504086,8.33629088120569E-07,0,0,0,0.133123422628895,0.000102735733538488,1.70774462781549E-09,6.6468007105172E-10,0.000178056302868726,-5.51818128952686E-11,0.000102733129208732,0,0,0,0,0,0,package://Trial1_URDFF/meshes/RR_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/RR_Wheel.STL,,mecanum wheel left_mir_simplify_1.stp-1,Origin_RR_Joint,Axis_RR_Joint,RR_Joint,continuous,-0.02453,-0.43654,0.15136,3.1416,0,0,Body,0,1,0,,,,,,,,,,,,
FL_Wheel,7.14605758816989E-07,-0.0235185582608061,9.21027146327802E-07,0,0,0,0.133123193517618,0.000102735278595089,1.91057527291506E-09,6.99571460195626E-10,0.000178056069065094,2.17602869163462E-10,0.000102733259158633,0,0,0,0,0,0,package://Trial1_URDFF/meshes/FL_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/FL_Wheel.STL,,mecanum wheel left_mir_simplify_1.stp-2,Origin_FL_Joint,Axis_FL_Joint,FL_Joint,continuous,0.22047,-0.042196,0.15136,0,0.75159,0,Body,0,1,0,,,,,,,,,,,,
RL_Wheel,1.103839161673E-06,-0.0235183075452311,-7.57344712443153E-07,0,0,0,0.133116263866554,0.000102729928254729,9.15882700731152E-10,-1.98367934020816E-10,0.000178047407248189,-6.33581216002572E-10,0.000102730807314617,0,0,0,0,0,0,package://Trial1_URDFF/meshes/RL_Wheel.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/RL_Wheel.STL,,mecanum wheel left_simplify_1.stp-2,Origin_RL_Wheel,Axis_RL_Wheel,RL_Wheel,continuous,-0.02453,-0.042196,0.15136,-3.1416,-0.7065,-3.1416,Body,0,1,0,,,,,,,,,,,,
Hand_Pinion,0.131825819273133,0.038097338483273,-0.0449193990281507,0,0,0,0.0279777163922377,6.58644207692729E-06,-4.28067607593132E-12,-7.72951918206092E-14,6.58655671957757E-06,-1.90612073191498E-08,1.27219666968974E-05,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Hand_Pinion.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Hand_Pinion.STL,,pinion_horn_simplified_simplify_2.stp-1,Origin_Hand_Pinion_Joint,,Hand_Pinion_Joint,fixed,0.37637,-0.29604,0.19546,1.5677,-1.0632,1.5616,Body,0,0,0,,,,,,,,,,,,
Top_Rack,0.0655187436838316,0.0260605324140515,-0.0107485152761947,0,0,0,0.0444721142326125,4.31970255875435E-05,6.13571137842869E-06,-9.40769489791592E-06,4.44077713560118E-05,8.25852136933452E-06,3.99224131601701E-05,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Top_Rack.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Top_Rack.STL,,upper_rack_simplified_simplify_2.stp-1,Origin_Top_Rack_Joint,Axis_Top_Rack_Joint,Top_Rack_Joint,fixed,-0.103696936304551,0.383278535088452,0.00131398051809067,-0.00159656794114636,0.00271507286217638,-1.06315566074658,Hand_Pinion,0,0,0,,,,,,,,,,,,
Bottom_Rack,0.19566277095261,0.00208141977650605,-0.0103076282850985,0,0,0,0.0441284936633414,3.28534224276309E-05,1.02768005051773E-06,5.79231186575885E-06,3.90577936930602E-05,-6.97966423222986E-07,3.2866699364524E-05,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Bottom_Rack.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Bottom_Rack.STL,,lower rack_simplified_simplify_1.stp-1,Origin_Bottom_Rack_Joint,Axis_Bottom_Rack_Joint,Bottom_Rack_Joint,fixed,0.0418904539383234,0.121725721880754,0.000551744829093981,-0.00159656794149612,0.00271507286217637,-1.06315566074658,Hand_Pinion,0,0,0,,,,,,,,,,,,
Pinion_Rotation,-1.21915135264938E-07,2.12968309654116E-10,-0.00862698330520303,0,0,0,0.01971261332238,2.49320505899689E-06,-1.92363808123588E-14,-3.95214159642005E-11,2.49246744458359E-06,6.34867153675314E-14,3.84795949836166E-06,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Pinion_Rotation.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Pinion_Rotation.STL,,small gear.stp-3,Origin_Pinion_Rotation_Joint,Axis_Pinion_Rotation_Joint,Pinion_Rotation_Joint,continuous,0.278337471500002,-0.333499551278806,0.190972134142356,-3.14159265358979,0,-0.454860647536355,Body,0,0,1,,,,,,,,,,,,
Gear_Rotation,-0.0396180351540131,0.0329007638784696,-0.00128077100890733,0,0,0,0.423176632975611,0.000353571930390184,-1.33192920557063E-05,2.56201793177061E-06,0.000415654470762434,2.44567187586392E-06,0.00041385318087561,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Gear_Rotation.STL,0.745098039215686,0.737254901960784,0.729411764705882,1,0,0,0,0,0,0,package://Trial1_URDFF/meshes/Gear_Rotation.STL,,robotic hand holder_for thrust bearing_no belt_simplified_simplify_1.stp-1,Origin_Gear_Rotation_Joint,Axis_Gear_Rotation_Joint,Gear_Rotation_Joint,fixed,-0.0389759454733984,-0.0581452979566263,-0.0599338066051831,1.12508859946175,-1.5707963267949,0,Pinion_Rotation,0,0,0,,,,,,,,,,,,
